counter,frame,x,y,w,h
1,600,347,50,12,10
2,600,438,50,12,10
1,601,346,50,12,10
2,601,438,49,12,10
1,602,347,50,12,10
2,602,439,51,12,10
1,603,346,52,12,10
2,603,438,52,12,10
1,604,345,50,12,10
2,604,437,50,12,10
1,605,348,50,12,10
2,605,440,50,12,10
1,606,348,52,12,10
2,606,439,52,12,10
1,607,347,51,12,10
2,607,439,52,12,10
1,608,347,53,12,10
2,608,439,54,12,10
1,609,346,53,12,10
2,609,438,53,12,10
1,610,349,52,12,10
2,610,441,53,12,10
1,611,348,53,12,10
2,611,441,54,12,10
1,612,346,53,12,10
2,612,438,54,12,10
1,613,346,52,12,10
2,613,438,53,12,10
1,614,347,52,12,10
2,614,439,54,12,10
1,615,348,53,12,10
2,615,442,54,12,10
1,616,347,51,12,10
2,616,443,52,12,10
1,617,346,52,12,10
2,617,443,53,12,10
1,618,347,54,12,10
2,618,444,56,12,10
1,619,346,53,12,10
2,619,443,55,12,10
1,620,348,53,12,10
2,620,444,55,12,10
1,621,346,55,12,10
2,621,444,56,12,10
1,622,349,55,12,10
2,622,441,57,12,10
1,623,349,55,12,10
2,623,441,57,12,10
1,624,350,55,12,10
2,624,443,57,12,10
1,625,350,57,12,10
2,625,443,58,12,10
1,626,348,54,12,10
2,626,441,56,12,10
1,627,348,58,12,10
2,627,441,59,12,10
1,628,350,57,12,10
2,628,443,60,12,10
1,629,351,57,12,10
2,629,444,58,12,10
1,630,348,57,12,10
2,630,441,59,12,10
1,631,350,58,12,10
2,631,444,60,12,10
1,632,350,60,12,10
2,632,443,61,12,10
1,633,350,58,12,10
2,633,443,59,12,10
1,634,349,57,12,10
2,634,443,59,12,10
1,635,351,60,12,10
2,635,444,61,12,10
1,636,349,59,12,10
2,636,443,59,12,10
1,637,349,56,12,10
2,637,442,58,12,10
1,638,350,59,12,10
2,638,444,60,12,10
1,639,352,60,12,10
2,639,445,61,12,10
1,640,350,60,12,10
2,640,444,61,12,10
1,641,350,57,12,10
2,641,445,58,12,10
1,642,350,61,12,10
2,642,443,62,12,10
1,643,349,61,12,10
2,643,443,62,12,10
1,644,352,61,12,10
2,644,446,62,12,10
1,645,351,63,12,10
2,645,445,64,12,10
1,646,350,64,12,10
2,646,444,65,12,10
1,647,351,62,12,10
2,647,445,63,12,10
1,648,353,61,12,10
2,648,447,62,12,10
1,649,349,62,12,10
2,649,444,62,12,10
1,650,352,62,12,10
2,650,447,63,12,10
1,651,350,62,12,10
2,651,449,62,12,10
1,652,350,63,12,10
2,652,448,63,12,10
1,653,351,61,12,10
2,653,451,62,12,10
1,654,351,63,12,10
2,654,449,63,12,10
1,655,349,63,12,10
2,655,448,64,12,10
1,656,351,64,12,10
2,656,451,63,12,10
1,657,351,65,12,10
2,657,450,64,12,10
1,658,353,65,12,10
2,658,448,66,12,10
1,659,352,65,12,10
2,659,446,64,12,10
1,660,351,65,12,10
2,660,446,65,12,10
1,661,352,65,12,10
2,661,448,64,12,10
1,662,355,65,12,10
2,662,450,65,12,10
1,663,352,67,12,10
2,663,446,66,12,10
1,664,352,67,12,10
2,664,447,67,12,10
1,665,353,65,12,10
2,665,448,64,12,10
1,666,351,67,12,10
2,666,447,66,12,10
1,667,354,65,12,10
2,667,448,64,12,10
1,668,353,66,12,10
2,668,449,65,12,10
1,669,351,66,12,10
2,669,447,66,12,10
1,670,354,67,12,10
2,670,449,66,12,10
1,671,354,68,12,10
2,671,449,68,12,10
1,672,351,68,12,10
2,672,447,67,12,10
1,673,355,68,12,10
2,673,450,68,12,10
1,674,356,71,12,10
2,674,452,70,12,10
1,675,354,70,12,10
2,675,449,70,12,10
1,676,354,70,12,10
2,676,449,69,12,10
1,677,354,70,12,10
2,677,450,69,12,10
1,678,355,70,12,10
2,678,450,70,12,10
1,679,355,69,12,10
2,679,451,69,12,10
1,680,355,70,12,10
2,680,451,70,12,10
1,681,355,72,12,10
2,681,451,72,12,10
1,682,356,71,12,10
2,682,452,71,12,10
1,683,357,70,12,10
2,683,452,71,12,10
1,684,355,73,12,10
2,684,452,73,12,10
1,685,355,73,12,10
2,685,451,74,12,10
1,686,356,72,12,10
2,686,452,73,12,10
1,687,354,72,12,10
2,687,455,72,12,10
1,688,355,72,12,10
2,688,455,72,12,10
1,689,353,72,12,10
2,689,455,73,12,10
1,690,353,71,12,10
2,690,454,73,12,10
1,691,354,71,12,10
2,691,454,73,12,10
1,692,354,73,12,10
2,692,456,74,12,10
1,693,354,72,12,10
2,693,453,75,12,10
1,694,358,72,12,10
2,694,454,75,12,10
1,695,357,75,12,10
2,695,453,76,12,10
1,696,357,73,12,10
2,696,454,76,12,10
1,697,358,74,12,10
2,697,455,77,12,10
1,698,359,75,12,10
2,698,456,78,12,10
1,699,359,75,12,10
2,699,456,78,12,10
1,700,358,74,12,10
2,700,455,77,12,10
1,701,357,76,12,10
2,701,454,79,12,10
1,702,358,76,12,10
2,702,455,79,12,10
1,703,358,75,12,10
2,703,455,79,12,10
1,704,358,76,12,10
2,704,455,78,12,10
1,705,358,75,12,10
2,705,455,78,12,10
