counter,frame,x,y,w,h
1,670,354,66,9,8
2,670,448,67,11,10
1,671,354,67,9,8
2,671,449,68,11,10
1,672,351,67,9,8
2,672,446,68,11,10
1,673,356,68,9,8
2,673,450,68,11,10
1,674,356,71,9,8
2,674,451,71,11,10
1,675,354,70,9,8
2,675,449,71,11,10
1,676,354,69,9,8
2,676,449,69,11,10
1,677,355,70,9,8
2,677,450,70,11,10
1,678,355,70,9,8
2,678,450,71,11,10
1,679,356,69,9,8
2,679,450,69,11,10
1,680,355,70,9,8
2,680,450,71,11,10
1,681,355,71,9,8
2,681,451,72,11,10
1,682,356,71,9,8
2,682,452,72,11,10
1,683,357,70,9,8
2,683,452,72,11,10
1,684,355,72,9,8
2,684,451,74,11,10
1,685,355,72,9,8
2,685,450,74,11,10
1,686,356,72,9,8
2,686,451,73,11,10
1,687,355,71,9,8
2,687,454,74,11,10
1,688,355,71,9,8
2,688,455,72,11,10
1,689,354,72,9,8
2,689,454,74,11,10
1,690,353,72,9,8
2,690,454,73,11,10
1,691,354,71,9,8
2,691,454,74,11,10
1,692,355,72,9,8
2,692,455,75,11,10
1,693,355,72,9,8
2,693,452,76,11,10
1,694,358,72,9,8
2,694,453,74,11,10
1,695,357,74,9,8
2,695,452,78,11,10
1,696,357,73,9,8
2,696,453,76,11,10
1,697,359,73,9,8
2,697,455,77,11,10
1,698,359,75,9,8
2,698,456,79,11,10
1,699,359,75,9,8
2,699,456,78,11,10
1,700,358,73,9,8
2,700,455,78,11,10
1,701,358,76,9,8
2,701,454,80,11,10
1,702,357,76,9,8
2,702,454,80,11,10
1,703,359,75,9,8
2,703,455,79,11,10
1,704,358,75,9,8
2,704,455,79,11,10
1,705,358,74,9,8
2,705,455,78,11,10
1,706,359,74,9,8
2,706,454,78,11,10
1,707,358,76,9,8
2,707,454,79,11,10
1,708,359,76,9,8
2,708,455,80,11,10
1,709,359,75,9,8
2,709,455,80,11,10
1,710,358,76,9,8
2,710,455,80,11,10
1,711,359,77,9,8
2,711,456,80,11,10
1,712,360,76,9,8
2,712,458,79,11,10
1,713,359,76,9,8
2,713,456,80,11,10
1,714,359,77,9,8
2,714,456,80,11,10
1,715,359,75,9,8
2,715,456,78,11,10
1,716,359,74,9,8
2,716,455,78,11,10
1,717,360,76,9,8
2,717,457,79,11,10
1,718,361,78,9,8
2,718,458,81,11,10
1,719,359,77,9,8
2,719,457,80,11,10
1,720,360,77,9,8
2,720,457,79,11,10
1,721,360,78,9,8
2,721,457,80,11,10
1,722,360,78,9,8
2,722,458,81,11,10
1,723,358,76,9,8
2,723,460,78,11,10
1,724,358,76,9,8
2,724,461,78,11,10
1,725,359,76,9,8
2,725,461,79,11,10
1,726,358,78,9,8
2,726,461,80,11,10
1,727,358,77,9,8
2,727,461,78,11,10
1,728,359,75,9,8
2,728,462,78,11,10
1,729,358,75,9,8
2,729,458,78,11,10
1,730,359,75,9,8
2,730,457,78,11,10
1,731,362,76,9,8
2,731,460,78,11,10
1,732,363,75,9,8
2,732,460,78,11,10
1,733,361,78,9,8
2,733,459,81,11,10
1,734,361,78,9,8
2,734,460,79,11,10
1,735,360,76,9,8
2,735,458,78,11,10
1,736,361,76,9,8
2,736,459,79,11,10
1,737,364,78,9,8
2,737,462,80,11,10
1,738,363,78,9,8
2,738,461,81,11,10
1,739,362,76,9,8
2,739,460,78,11,10
1,740,362,76,9,8
2,740,460,77,11,10
1,741,362,79,9,8
2,741,461,80,11,10
1,742,363,79,9,8
2,742,462,80,11,10
1,743,364,76,9,8
2,743,463,78,11,10
1,744,363,78,9,8
2,744,461,79,11,10
1,745,364,80,9,8
2,745,463,82,11,10
1,746,364,77,9,8
2,746,463,78,11,10
1,747,364,77,9,8
2,747,463,78,11,10
1,748,363,79,9,8
2,748,462,80,11,10
1,749,363,79,9,8
2,749,462,80,11,10
1,750,362,76,9,8
2,750,461,77,11,10
1,751,364,74,9,8
2,751,463,75,11,10
1,752,362,75,9,8
2,752,462,77,11,10
1,753,363,77,9,8
2,753,462,79,11,10
1,754,364,76,9,8
2,754,463,77,11,10
1,755,365,76,9,8
2,755,464,78,11,10
1,756,364,76,9,8
2,756,463,76,11,10
1,757,365,76,9,8
2,757,466,78,11,10
1,758,364,76,9,8
2,758,464,77,11,10
1,759,362,75,9,8
2,759,466,77,11,10
1,760,363,74,9,8
2,760,467,76,11,10
1,761,365,74,9,8
2,761,470,75,11,10
1,762,365,75,9,8
2,762,470,77,11,10
1,763,363,75,9,8
2,763,469,76,11,10
1,764,364,75,9,8
2,764,469,77,11,10
1,765,365,75,9,8
2,765,465,78,11,10
1,766,367,75,9,8
2,766,467,77,11,10
1,767,366,76,9,8
2,767,467,78,11,10
1,768,366,77,9,8
2,768,467,78,11,10
1,769,369,75,9,8
2,769,469,78,11,10
1,770,368,76,9,8
2,770,469,79,11,10
1,771,368,78,9,8
2,771,468,80,11,10
1,772,368,75,9,8
2,772,468,78,11,10
1,773,369,76,9,8
2,773,469,78,11,10
1,774,369,79,9,8
2,774,469,81,11,10
1,775,370,77,9,8
2,775,470,79,11,10
1,776,369,77,9,8
2,776,471,80,11,10
1,777,367,79,9,8
2,777,468,81,11,10
1,778,371,78,9,8
2,778,471,80,11,10
1,779,370,77,9,8
2,779,471,80,11,10
1,780,370,79,9,8
2,780,470,82,11,10
1,781,370,78,9,8
2,781,471,81,11,10
1,782,371,79,9,8
2,782,471,82,11,10
1,783,369,79,9,8
2,783,471,82,11,10
1,784,372,78,9,8
2,784,474,80,11,10
1,785,370,79,9,8
2,785,472,81,11,10
1,786,370,80,9,8
2,786,471,83,11,10
1,787,372,79,9,8
2,787,473,82,11,10
1,788,373,78,9,8
2,788,473,79,11,10
1,789,371,78,9,8
2,789,473,80,11,10
1,790,373,78,9,8
2,790,474,81,11,10
1,791,372,80,9,8
2,791,474,82,11,10
1,792,372,80,9,8
2,792,473,83,11,10
1,793,373,76,9,8
2,793,475,77,11,10
1,794,371,78,9,8
2,794,473,80,11,10
1,795,369,78,9,8
2,795,476,80,11,10
1,796,370,75,9,8
2,796,477,77,11,10
1,797,370,77,9,8
2,797,477,77,11,10
1,798,371,78,9,8
2,798,478,79,11,10
1,799,370,79,9,8
2,799,477,79,11,10
1,800,368,78,9,8
2,800,475,79,11,10
1,801,372,81,9,8
2,801,474,82,11,10
1,802,374,82,9,8
2,802,476,83,11,10
1,803,373,82,9,8
2,803,475,83,11,10
1,804,374,83,9,8
2,804,477,84,11,10
1,805,372,81,9,8
2,805,475,82,11,10
1,806,372,82,9,8
2,806,475,82,11,10
1,807,374,81,9,8
2,807,477,80,11,10
1,808,375,81,9,8
2,808,477,81,11,10
1,809,372,84,9,8
2,809,475,84,11,10
1,810,376,84,9,8
2,810,479,84,11,10
1,811,374,83,9,8
2,811,477,82,11,10
1,812,373,84,9,8
2,812,476,83,11,10
1,813,376,86,9,8
2,813,479,85,11,10
1,814,377,87,9,8
2,814,480,87,11,10
1,815,376,86,9,8
2,815,479,85,11,10
1,816,377,85,9,8
2,816,480,85,11,10
1,817,375,86,9,8
2,817,480,85,11,10
1,818,375,85,9,8
2,818,479,85,11,10
1,819,377,84,9,8
2,819,481,84,11,10
1,820,377,87,9,8
2,820,481,87,11,10
1,821,376,86,9,8
2,821,479,87,11,10
1,822,376,85,9,8
2,822,479,85,11,10
1,823,376,87,9,8
2,823,480,87,11,10
1,824,378,86,9,8
2,824,482,87,11,10
1,825,378,86,9,8
2,825,481,87,11,10
1,826,376,86,9,8
2,826,480,87,11,10
1,827,378,86,9,8
2,827,482,87,11,10
1,828,377,87,9,8
2,828,481,88,11,10
1,829,378,86,9,8
2,829,482,87,11,10
1,830,376,86,9,8
2,830,484,88,11,10
1,831,373,86,9,8
2,831,482,87,11,10
1,832,378,86,9,8
2,832,486,88,11,10
1,833,376,87,9,8
2,833,486,89,11,10
1,834,376,91,9,8
2,834,486,92,11,10
1,835,377,89,9,8
2,835,486,91,11,10
1,836,377,88,9,8
2,836,486,89,11,10
1,837,380,90,9,8
2,837,484,91,11,10
1,838,379,91,9,8
2,838,484,92,11,10
1,839,380,92,9,8
2,839,484,92,11,10
1,840,380,90,9,8
2,840,485,91,11,10
1,841,378,91,9,8
2,841,484,92,11,10
1,842,380,91,9,8
2,842,485,92,11,10
1,843,378,91,9,8
2,843,484,92,11,10
1,844,378,91,9,8
2,844,484,91,11,10
1,845,379,93,9,8
2,845,484,94,11,10
1,846,380,94,9,8
2,846,485,94,11,10
1,847,379,92,9,8
2,847,484,93,11,10
1,848,379,92,9,8
2,848,485,92,11,10
1,849,380,96,9,8
2,849,487,96,11,10
1,850,379,96,9,8
2,850,485,96,11,10
1,851,380,94,9,8
2,851,486,95,11,10
1,852,381,96,9,8
2,852,487,95,11,10
1,853,382,97,9,8
2,853,488,98,11,10
1,854,382,94,9,8
2,854,488,94,11,10
1,855,381,93,9,8
2,855,487,94,11,10
1,856,381,96,9,8
2,856,487,96,11,10
1,857,381,97,9,8
2,857,487,97,11,10
1,858,381,96,9,8
2,858,488,97,11,10
1,859,381,95,9,8
2,859,488,96,11,10
1,860,380,96,9,8
2,860,487,96,11,10
1,861,382,98,9,8
2,861,488,99,11,10
1,862,383,97,9,8
2,862,489,99,11,10
1,863,382,97,9,8
2,863,489,99,11,10
1,864,382,98,9,8
2,864,489,100,11,10
1,865,383,99,9,8
2,865,490,101,11,10
1,866,380,94,9,8
2,866,492,98,11,10
1,867,382,96,9,8
2,867,493,99,11,10
1,868,380,96,9,8
2,868,493,99,11,10
1,869,381,96,9,8
2,869,494,99,11,10
1,870,380,96,9,8
2,870,492,100,11,10
1,871,380,96,9,8
2,871,492,99,11,10
1,872,380,96,9,8
2,872,490,101,11,10
1,873,383,97,9,8
2,873,490,100,11,10
1,874,383,97,9,8
2,874,491,100,11,10
1,875,383,100,9,8
2,875,490,104,11,10
1,876,385,100,9,8
2,876,493,104,11,10
1,877,384,96,9,8
2,877,492,100,11,10
1,878,383,98,9,8
2,878,490,102,11,10
1,879,383,102,9,8
2,879,490,106,11,10
1,880,382,101,9,8
2,880,490,106,11,10
1,881,385,99,9,8
2,881,492,103,11,10
1,882,385,101,9,8
2,882,493,105,11,10
1,883,386,101,9,8
2,883,495,105,11,10
1,884,383,100,9,8
2,884,492,104,11,10
1,885,384,100,9,8
2,885,492,104,11,10
1,886,385,100,9,8
2,886,494,104,11,10
1,887,387,102,9,8
2,887,495,106,11,10
1,888,383,103,9,8
2,888,492,106,11,10
1,889,384,102,9,8
2,889,492,105,11,10
1,890,386,102,9,8
2,890,494,106,11,10
1,891,385,104,9,8
2,891,494,107,11,10
1,892,385,104,9,8
2,892,494,107,11,10
1,893,386,105,9,8
2,893,495,109,11,10
1,894,385,104,9,8
2,894,493,108,11,10
1,895,387,103,9,8
2,895,496,106,11,10
1,896,385,104,9,8
2,896,495,108,11,10
1,897,386,106,9,8
2,897,495,109,11,10
1,898,387,106,9,8
2,898,496,110,11,10
1,899,387,106,9,8
2,899,496,110,11,10
1,900,385,105,9,8
2,900,495,109,11,10
1,901,387,106,9,8
2,901,496,110,11,10
1,902,384,106,9,8
2,902,499,110,11,10
1,903,384,105,9,8
2,903,499,109,11,10
1,904,385,106,9,8
2,904,500,111,11,10
1,905,384,107,9,8
2,905,498,110,11,10
1,906,385,107,9,8
2,906,500,111,11,10
1,907,385,107,9,8
2,907,501,111,11,10
1,908,387,110,9,8
2,908,497,114,11,10
1,909,387,109,9,8
2,909,497,114,11,10
1,910,388,110,9,8
2,910,498,114,11,10
1,911,387,111,9,8
2,911,498,115,11,10
1,912,387,109,9,8
2,912,498,114,11,10
1,913,389,109,9,8
2,913,499,114,11,10
1,914,390,112,9,8
2,914,501,116,11,10
1,915,390,109,9,8
2,915,500,114,11,10
1,916,389,110,9,8
2,916,500,115,11,10
1,917,389,112,9,8
2,917,500,117,11,10
1,918,390,112,9,8
2,918,501,117,11,10
1,919,390,110,9,8
2,919,501,116,11,10
1,920,391,111,9,8
2,920,502,116,11,10
1,921,389,111,9,8
2,921,500,117,11,10
1,922,390,110,9,8
2,922,501,116,11,10
1,923,390,112,9,8
2,923,502,117,11,10
1,924,391,116,9,8
2,924,502,122,11,10
1,925,393,114,9,8
2,925,505,120,11,10
1,926,391,113,9,8
2,926,501,119,11,10
1,927,389,114,9,8
2,927,500,120,11,10
1,928,392,114,9,8
2,928,504,121,11,10
1,929,392,115,9,8
2,929,504,121,11,10
1,930,390,114,9,8
2,930,502,121,11,10
1,931,393,114,9,8
2,931,505,120,11,10
1,932,393,117,9,8
2,932,505,123,11,10
1,933,393,117,9,8
2,933,505,123,11,10
1,934,392,114,9,8
2,934,505,120,11,10
1,935,394,117,9,8
2,935,506,123,11,10
1,936,392,117,9,8
2,936,505,123,11,10
1,937,395,116,9,8
