ICAO,CALLSIGN,ALTITUDE,LONGITUDE,LATITUDE,TIMESTAMP,DISTANCE,BHATDOTRHAT,BHATDOTRHATV,DF,TC,ALTCOR,ARCANG,T,AS,M,RP,RSURF,H,PBARO,VRATE,GS,HDNG,MHDNG,ROLL,TRACK,RTRACK
4066cd,TOM3KM,2625.0,-3.2356989132409426,50.762051968926336,484.75585,14.155747616613112,0.2352400916871187,0.0518026541008169,0,25,-75.0,0.002220700591885721,0.0,0.0,0.0,6366.174627483672,6365.351667483672,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.235700138148129,50.76205178888964,484.75682625,14.155659021838066,0.23524013282991335,0.05180299173068772,4,4,-75.0,0.0022206866551317847,0.0,0.0,0.0,6366.1746275496225,6365.351667549622,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.23575488161855,50.76204374270171,484.80045675,14.151699550050507,0.2352413359652075,0.05181754297342459,17,19,-75.0,0.0022200637946527962,0.0,0.0,0.0,6366.174630497074,6365.351670497073,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.235825369145694,50.762033382454426,484.85663525,14.146601346137711,0.2352401258545469,0.05183394321791679,20,31,-75.0,0.0022192618013816023,0.0,0.0,0.0,6366.174634292204,6365.351674292204,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2358599720679395,50.762028296521564,484.88421375,14.144098594789613,0.23523953180100587,0.05184199423641547,20,27,-75.0,0.002218868096113045,0.0,0.0,0.0,6366.174636155265,6365.351676155265,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2358689347498957,50.76202697918777,484.891357,14.143450344211542,0.23523937793212407,0.05184407957237975,20,27,-75.0,0.002218766120474065,0.0,0.0,0.0,6366.174636637827,6365.351676637826,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2358823149396385,50.762025012569275,484.902021,14.142482585255253,0.2352391482246722,0.0518471927243376,21,16,-75.0,0.0022186138832971376,0.0,0.0,0.0,6366.174637358231,6365.3516773582305,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2358828168222242,50.76202493880264,484.902421,14.142446285219382,0.23523913960848872,0.051847309496729124,21,31,-75.0,0.0022186081729754226,0.0,0.0,0.0,6366.174637385253,6365.3516773852525,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2359933,50.7620087,484.990476,14.134455286073065,0.2352372428633955,0.05187301547906686,17,11,-75.0,0.0022173511170288413,0.0,0.0,0.0,6366.174643333795,6365.351683333794,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.236063514815604,50.76199786861383,485.05734225,14.129363608367232,0.23523580253369716,0.051892535808877656,4,4,-75.0,0.0022165501420732814,0.0,0.0,0.0,6366.174647301513,6365.351687301512,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.236063514815604,50.76199786861383,485.05734225,14.129363608367232,0.23523580253369716,0.051892535808877656,4,4,-75.0,0.0022165501420732814,0.0,0.0,0.0,6366.174647301513,6365.351687301512,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2362925760652645,50.76196253346652,485.2754795,14.112753067584144,0.2352311037572667,0.05195621682978168,17,19,-75.0,0.002213937127673269,0.0,0.0,0.0,6366.17466024537,6365.35170024537,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2363804547773887,50.76194897723542,485.35916725,14.106380479755064,0.2352287159772137,0.0519772614116285,4,4,-75.0,0.0022129346519573862,0.0,0.0,0.0,6366.174665211245,6365.351705211245,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2365294008082492,50.76192600071735,485.50101,14.09557955151534,0.2351998040071649,0.051869017707409946,11,14,-75.0,0.002211235551284359,0.0,0.0,0.0,6366.174673627928,6365.351713627928,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.236585183081586,50.76191739570516,485.554132,14.09153445996184,0.23518897608911526,0.05182847899777907,0,25,-75.0,0.0022105992154409513,0.0,0.0,0.0,6366.174676780089,6365.351716780088,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2625.0,-3.2365871,50.7619171,485.5559575,14.09139545324841,0.2351886039953613,0.05182708591366268,17,11,-75.0,0.0022105773482092557,0.0,0.0,0.0,6366.17467688841,6365.35171688841,0.8229599999999999,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
4066cd,TOM3KM,2619.891184069531,-3.2367025592400287,50.76189664430101,485.65812825,14.082870269526563,0.23516777841447073,0.05174911689203282,4,4,-75.0,0.0022092492823822425,0.0,0.0,0.0,6366.1731272230245,6365.35172439012,0.8214028329043929,1010.0,-1024.0,152.0,-166.0,-175.78,-0.5,256.289,-0.063
